?subject	?name	?year	?band	?gender
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Music-of-Stranger-Things>	"Kyle Dixon & Michael Stein"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Die-Toten-Hosen>	"Die Toten Hosen"	1982	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Seu-Jorge>	"Seu Jorge"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Monkees>	"The Monkees"	1966	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Paul-Kelly-(Australian-musician)>	"Paul Kelly"	1974	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Early-November>	"The Early November"	2001	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Frankie-Avalon>	"Frankie Avalon"	1951	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Dennis-Lloyd>	"Dennis Lloyd"	2015	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Julien-Baker>	"Julien Baker"	2014	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lorde>	"Lorde"	2009	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Stevie-Nicks-discography>	"Stevie Nicks"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Capleton>	"Capleton"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Massive-Attack>	"Massive Attack"	1988	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Julius-Caesar>	"Caesars"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Sébastien-Tellier>	"Sébastien Tellier"	2001	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ema-Kogure>	"EMA"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Commodore>	"The Commodores"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Fantasia>	"Fantasía"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Five-(Five-album)>	"Five"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Amber-Pacific>	"Amber Pacific"	2002	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Crash-Test-Dummies>	"Crash Test Dummies"	1988	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lynyrd-Skynyrd>	"Lynyrd Skynyrd"	1964	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Flaming-Lips>	"The Flaming Lips"	1983	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/List-of-songs-about-child-abuse>	"Jacob Whitesides"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Barbra-Streisand>	"Barbra Streisand"	1960	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Niia>	"Niia"	2007	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Nothing-More>	"Nothing More"	2003	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tessa-Violet>	"Tessa Violet"	2007	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kevin-Gates>	"Kevin Gates"	2007	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Zhu-Zhu>	"ZHU"	2011	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Labelle>	"Labelle"	1962	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bazzi-(singer)>	"Bazzi"	2015	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Electronic>	"Electronic"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Jeremy-Riddle>	"Jeremy Riddle"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/LP-(singer)>	"LP"	1998	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Vanessa-Carlton>	"Vanessa Carlton"	2001	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cage-the-Elephant>	"Cage the Elephant"	2006	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/La-Bouche>	"La Bouche"	1994	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Still-Woozy>	"Still Woozy"	2017	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tarrus-Riley>	"Tarrus Riley"	2005	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Chicago-Childrens-Choir>	"Chicago Children's Choir"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Christine-and-the-Queens>	"Christine and the Queens"	2010	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Audioslave>	"Audioslave"	2001	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Natalie-Merchant>	"Natalie Merchant"	1981	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Grace-VanderWaal>	"Grace VanderWaal"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/AWAL>	"Mothica"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Doris-Day>	"Doris Day"	1939	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Don-Henley>	"Don Henley"	1970	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Airplane>	"Aeroplane"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/U.F.O.F.>	"U.F.O."		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bacilos-(album)>	"Bacilos"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Jamie-xx>	"Jamie xx"	2007	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Robbie-Williams-discography>	"Robbie Williams"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bondax>	"Bondax"	2011	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Flosstradamus>	"Flosstradamus"	2006	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kill-the-Noise>	"Kill The Noise"	2003	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Vaccines>	"The Vaccines"	2010	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Farruko>	"Farruko"	2009	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Virtual-Riot>	"Virtual Riot"	2010	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Broncho-(band)>	"Broncho"	2010	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/James-Arthur>	"James Arthur"	2011	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Steve-Aoki>	"Steve Aoki"	1996	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Olly-Murs>	"Murs"	2009	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ronnie-Milsap>	"Ronnie Milsap"	1963	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Georgia>	"Georgia"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charlotte-Gainsbourg>	"Charlotte Gainsbourg"	1984	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Steve-Miller-Band>	"Steve Miller Band"	1966	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Dimmu-Borgir>	"Dimmu Borgir"	1993	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/List-of-Top-100-songs-for-2017-in-Mexico>	"Alta Consigna"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Triumph>	"Triumph"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cali-Swag-District>	"Cali Swag District"	2009	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Powers-(duo)>	"Powers"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Preatures>	"The Preatures"	2010	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Dwele>	"Dwele"	2000	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Chris-Daughtry>	"Daughtry"	1999	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Caloncho>	"Caloncho"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Shwayze>	"Shwayze"	2005	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/702-discography>	"702"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Japanese-Breakfast>	"Japanese Breakfast"	2013	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/New-Edition>	"New Edition"	1978	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Social-Distortion>	"Social Distortion"	1978	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/William-Bell-(singer)>	"William Bell"	1957	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Phum-Viphurit>	"Phum Viphurit"	2014	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Save-Ferris>	"Save Ferris"	1995	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charlie-Daniels>	"Charlie Daniels"	1958	true	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charlie-Daniels>	"Charlie Daniels"	1958	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charlie-Daniels>	"The Charlie Daniels Band"	1958	true	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Charlie-Daniels>	"The Charlie Daniels Band"	1958	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Matt-Maher>	"Matt Maher"	2000	false	"male"
