?name	?classifciation	?year	?winner	?artist_uri	?artist_name
"American_Music_Award"	"Favorite_Soul/R&B_Male_Artist"	1994	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bobby-Brown>	"Bobby Brown"
"Billboard_Music_Award"	"Top_Artist"	2018	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Taylor-Swift>	"Taylor Swift"
"American_Music_Award"	"Favorite_Country_Album"	2015	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Florida-Georgia-Line>	"Florida Georgia Line"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2015	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Taylor-Swift>	"Taylor Swift"
"Billboard_Music_Award"	"Top_Billboard_200_Album"	2020	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Taylor-Swift>	"Taylor Swift"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	1985	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Oak-Ridge-Boys>	"The Oak Ridge Boys"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	1974	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Aretha-Franklin>	"Aretha Franklin"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	1977	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Diana-Ross>	"Diana Ross"
"American_Music_Award"	"Favorite_Country_Album"	1994	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Reba-McEntire>	"Reba McEntire"
"Grammy_Award"	"Album_of_the_Year"	1967	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Herb-Alpert>	"Herb Alpert"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2012	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/LMFAO>	"LMFAO"
"Billboard_Music_Award"	"Top_Female_Artist"	2004	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Norah-Jones>	"Norah Jones"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	2017	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Little-Big-Town>	"Little Big Town"
"American_Music_Award"	"Favorite_Country_Female_Artist"	1998	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Reba-McEntire>	"Reba McEntire"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2013	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Justin-Timberlake>	"Justin Timberlake"
"Grammy_Award"	"Song_of_the_Year"	1979	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lionel-Richie>	"Lionel Richie"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	1978	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/John-Williams>	"John Williams"
"Grammy_Award"	"Album_of_the_Year"	1965	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Barbra-Streisand>	"Barbra Streisand"
"Billboard_Music_Award"	"Top_Artist"	2012	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Rihanna>	"Rihanna"
